name,time/op (ns/op),±
Gol/512x512x1000-1-8,4.90954E+09,7%
Gol/512x512x1000-2-8,4.93666E+09,16%
Gol/512x512x1000-3-8,5.35926E+09,9%
Gol/512x512x1000-4-8,5.64821E+09,7%
Gol/512x512x1000-5-8,5.90842E+09,5%
Gol/512x512x1000-6-8,5.64539E+09,3%
Gol/512x512x1000-7-8,5.58982E+09,2%
Gol/512x512x1000-8-8,5.61998E+09,5%
Gol/512x512x1000-9-8,5.58452E+09,3%
Gol/512x512x1000-10-8,5.43626E+09,5%
Gol/512x512x1000-11-8,5.66435E+09,5%
Gol/512x512x1000-12-8,5.46564E+09,2%
Gol/512x512x1000-13-8,5.54956E+09,2%
Gol/512x512x1000-14-8,5.57333E+09,4%
Gol/512x512x1000-15-8,5.60024E+09,4%
Gol/512x512x1000-16-8,5.90740E+09,6%
